title,lc,author,lc_class
The Ball and The Cross,PR4453.C4 B143,Chesterton Gilbert K.,PR
The Man Who Was Thursday: A Nightmare (Barnes & Noble Library of Essential Reading),PR4453.C4 M4,G. K. Chesterton,PR
Manalive (Hilarious Stories),PR4453.C4 M468,G. K. Chesterton,PR
The Moonstone (Signet Classics),PR4494.M62,Wilkie Collins,PR
David Copperfield. Collector's Edition in Full Leather. The 100 Greatest Books Ever Written Series,PR4558,Charles Dickens,PR
Great Expectations,PR4560.A1,Charles Dickens,PR
The Pickwick Papers (Modern Library Classics),PR4569 .A1,Charles Dickens,PR
A Tale Of Two Cities,PR4571,charles-dickens,PR
"Sherlock Holmes: The Complete Novels and Stories, Volume II (Bantam Classic)",PR4620,Sir Arthur Conan Doyle,PR
"Sherlock Holmes: The Complete Novels and Stories, Vol. 1",PR4620 .A2,Sir Arthur Conan Doyle,PR
"The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C. S. Lewis, Owen Barfield, Charles Williams",PR478.I54 Z35,Philip Zaleski,PR
Three Men in a Boat,PR4825.J3 A7753,Jerome K. Jerome,PR
"Keats: Selected Poetry (Poetry Library, Penguin)",PR4832 .B37,John Keats,PR
Complete Verse,PR48511989,Rudyard Kipling,PR
The Complete Fairy Tales (Penguin Classics),PR4966 .K58,George MacDonald,PR
George MacDonald: An Anthology 365 Readings,PR4966 .L4,George MacDonald,PR
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,PR54812003,Robert Louis Stevenson,PR
The Way We Live Now (Wordsworth Classics),PR5684 .W3,Anthony Trollope,PR
"The Complete Works of Oscar Wilde: Stories, Plays, Poems & Essays",PR5810 .F66,Oscar Wilde,PR
Auden: Poems (Everyman's Library Pocket Poets Series),PR6001.U4,W. H. Auden,PR
Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),PR6005.H66 M88,Agatha Christie,PR
"Hornblower and the ""Hotspur"" (Hornblower Series)",PR6011.O56 H66,C. S. Forester,PR
Hornblower During the Crisis (Hornblower Saga (Paperback)),PR6011.O56 H67,C. S. Forester,PR
Lieutenant Hornblower,PR6011.O56 L54,C. S. Forester,PR
Mr. Midshipman Hornblower (Hornblower Saga (Paperback)),PR6011.O56 M7,C. S. Forester,PR
Brave New World,PR6015.U9,Aldous Huxley,PR
Till We Have Faces: A Myth Retold,PR6023.E926,C. S. Lewis,PR
Out of the Silent Planet (Space Trilogy (Paperback)),PR6023.E926 O54,C. S. Lewis,PR
"Perelandra (Space Trilogy, Book 2)",PR6023.E926 P47,C. S. Lewis,PR
"That Hideous Strength (Space Trilogy, Book 3)",PR6023.E926 T47,C. S. Lewis,PR
Animal Farm,PR6029.R8,George Orwell,PR
A Collection of Essays,PR6029.R8 A16,George Orwell,PR
Tolkien THE LORD OF THE RINGS TRILOGY Boxed Set: Volume I. The Fellowship of the Ring. Volume II. The Two Towers. Volume III. The Return of the King.,PR6039.O32,J. R. R. Tolkien,PR
The Silmarillion,PR6039.O32 S5,J.R.R. Tolkien,PR
Unfinished Tales Of Numenor And Middle-Earth,PR6039.O32 U5,J.R.R. Tolkien,PR
Penguin Classics Sword of Honour,PR6045.A97 A6,Evelyn Waugh,PR
Brideshead Revisited,PR6045.A97 B7,Evelyn Waugh,PR
The Loved One,PR6045.A97 L68,Evelyn Waugh,PR
Scoop,PR6045.A97 S36,Evelyn Waugh,PR
Piccadilly Jim,PR6045.O53 P45,P. G. Wodehouse,PR
The Ultimate Hitchhiker's Guide to the Galaxy,PR6051.D3352,Douglas Adams,PR
The Noise of Time: A novel,PR6052.A6657 N65,Julian Barnes,PR
A Clockwork Orange,PR6052.U638,Anthony Burgess,PR
"Earthly Powers (Burgess, Anthony)",PR6052.U638 E2,Anthony Burgess,PR
The Winter King (The Arthur Books #1),PR6053.O75,Bernard Cornwell,PR
Los muertos no hablan,PR6056.R456 W438,Nicci French,PR
Call for the Dead: A George Smiley Novel,PR6062.E33 C3,John Le Carré,PR
Rock 'n' Roll: A New Play,PR6069.T6 R57,Tom Stoppard,PR
Rosencrantz and Guildenstern Are Dead,PR6069.T6 R6,Tom Stoppard,PR
Winter in Madrid,PR6119.A57 W56,C. J. Sansom,PR
"A Great Reckoning: A Novel (Chief Inspector Gamache Novel, 12)",PR9199.P464 G74,Louise Penny,PR
The Power of One: A Novel,PR9619.C5964 P69,Bryce Courtenay,PR
The Narrow Road to the Deep North,PR9619.F525 N37,Richard Flanagan,PR
El jardín olvidado / The Forgotten Garden (Spanish Edition),PR9619.M74 F67,Kate Morton,PR
The Adventures of Huckleberry Finn,PS1305 .A1,Mark Twain,PS
Poems,PS3503.I785 A6,Elizabeth Bishop,PS
Four Quartets,PS3509.L43 F6,T. S. Eliot,PS
Old Possum's Book of Practical Cats,PS3509.L43 O55,T. S. Eliot,PS
The Waste Land and Other Poems (Penguin Classics),PS3509.L43 W35,T. S. Eliot,PS
Doctor Dogbody's Leg (Heart of Oak Sea Classics Series),PS3515.A363 D63,James N. Hall,PS
The Sun Also Rises,PS3515.E37,Ernest Hemingway,PS
A Farewell To Arms,PS3515.E37 F3,Ernest Hemingway,PS
The Pisan Cantos,PS3531.O82 P5,Ezra Pound,PS
Atlas Shrugged,PS3535.A547,Ayn Rand,PS
All the King's Men,PS3545.A748,Robert Penn Warren,PS
Godric: A Novel,PS3552.U35 G6,Frederick Buechner,PS
House of Leaves,PS3554.A5596,Mark Z. Danielewski,PS
Point Omega: A Novel,PS3554.E4425 P65,Don DeLillo,PS
Catch-22,PS3558.E476,Joseph Heller,PS
A Soldier of the Great War,PS3558.E4775 S65,Mark Helprin,PS
Dune,PS3558.E63,Frank Herbert,PS
Teatro Grottesco,PS3562.I4546 T43,Thomas Ligotti,PS
"All the Pretty Horses (The Border Trilogy, Book 1)",PS3563.C337 A79,Cormac McCarthy,PS
